episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
220,280,-38171.000000,0.050000,100000,211473,1000,101.17301802,4204.12,0,1,1000,2
221,281,-55572.000000,0.050000,100000,212473,1000,99.17932678,4225.46,0,1,1000,2
222,282,-173177.000000,0.050000,100000,213473,1000,106.44913885,4245.96,0,1,1000,2
223,283,-149273.000000,0.050000,100000,214473,1000,104.63660393,4268.06,0,1,1000,2
224,284,-976.000000,0.050000,100000,215473,1000,105.59359666,4289.60,0,1,1000,2
225,285,-153987.000000,0.050000,100000,216473,1000,108.13731846,4310.53,0,1,1000,2
226,286,-130767.000000,0.050000,100000,217473,1000,112.67631220,4331.53,0,1,1000,2
227,287,-886.000000,0.050000,100000,218473,1000,109.04692138,4352.89,0,1,1000,2
228,288,-969.000000,0.050000,100000,219473,1000,110.05724490,4373.53,0,1,1000,2
229,289,-988.000000,0.050000,100000,220473,1000,107.71133784,4394.82,0,1,1000,2
230,290,-76268.000000,0.050000,100000,221473,1000,109.08380221,4415.72,0,1,1000,2
231,291,-3372.000000,0.050000,100000,222473,1000,108.25478773,4437.30,0,1,1000,2
232,292,-50967.000000,0.050000,100000,223473,1000,109.24283436,4458.95,0,1,1000,2
233,293,-25384.000000,0.050000,100000,224473,1000,110.57952282,4480.52,0,1,1000,2
234,294,-112596.000000,0.050000,100000,225473,1000,109.20343654,4502.64,0,1,1000,2
235,295,-93183.000000,0.050000,100000,226473,1000,111.41641145,4523.95,0,1,1000,2
236,296,-39173.000000,0.050000,100000,227473,1000,115.20911349,4546.29,0,1,1000,2
237,297,-29770.000000,0.050000,100000,228473,1000,114.64585855,4567.70,0,1,1000,2
238,298,-21374.000000,0.050000,100000,229473,1000,112.81198802,4589.51,0,1,1000,2
239,299,-45369.000000,0.050000,100000,230473,1000,118.54704609,4611.28,0,1,1000,2
240,300,-65983.000000,0.050000,100000,231473,1000,115.14357681,4634.20,0,1,1000,2
241,301,-34982.000000,0.050000,100000,232473,1000,120.71916230,4655.88,0,1,1000,2
242,302,-72743.000000,0.050000,100000,233348,875,116.79620901,4674.37,0,1,1000,2
243,303,-14272.000000,0.050000,100000,234348,1000,118.77226081,4697.47,0,1,1000,2
244,304,-108173.000000,0.050000,100000,235348,1000,119.51690024,4717.99,0,1,1000,2
245,305,-42570.000000,0.050000,100000,236348,1000,117.77234176,4739.09,0,1,1000,2
246,306,-184172.000000,0.050000,100000,237348,1000,118.81449485,4759.99,0,1,1000,2
247,307,-86967.000000,0.050000,100000,238348,1000,116.67808807,4780.97,0,1,1000,2
248,308,-15876.000000,0.050000,100000,239348,1000,118.92488843,4801.66,0,1,1000,2
249,309,-9767.000000,0.050000,100000,240348,1000,117.21109465,4822.27,0,1,1000,2
250,310,-103390.000000,0.050000,100000,241348,1000,118.78964873,4844.30,0,1,1000,2
251,311,-40975.000000,0.050000,100000,242348,1000,123.39962835,4865.49,0,1,1000,2
252,312,-82186.000000,0.050000,100000,243348,1000,117.02085097,4886.80,0,1,1000,2
253,313,-39978.000000,0.050000,100000,244348,1000,117.32589861,4909.37,0,1,1000,2
254,314,-39979.000000,0.050000,100000,245348,1000,119.34713059,4931.50,0,1,1000,2
255,315,-50874.000000,0.050000,100000,246348,1000,119.07759080,4953.30,0,1,1000,2
256,316,-26950.000000,0.050000,100000,246830,482,117.69124642,4963.43,0,1,1000,2
257,317,-26584.000000,0.050000,100000,247830,1000,120.54973973,4985.07,0,1,1000,2
258,318,-105585.000000,0.050000,100000,248830,1000,121.62315637,5006.91,0,1,1000,2
259,319,-109586.000000,0.050000,100000,249830,1000,123.11821272,5028.17,0,1,1000,2
260,320,-106786.000000,0.050000,100000,250830,1000,129.05680937,5050.48,0,1,1000,2
261,321,-99981.000000,0.050000,100000,251830,1000,126.88603478,5071.78,0,1,1000,2
262,322,-98775.000000,0.050000,100000,252830,1000,131.29375713,5093.22,0,1,1000,2
263,323,-120185.000000,0.050000,100000,253830,1000,134.83892106,5114.84,0,1,1000,2
264,324,-115991.000000,0.050000,100000,254830,1000,134.75645028,5136.14,0,1,1000,2
265,325,-115584.000000,0.050000,100000,255830,1000,133.91215825,5157.73,0,1,1000,2
266,326,-92194.000000,0.050000,100000,256830,1000,141.69732343,5179.19,0,1,1000,2
267,327,-104374.000000,0.050000,100000,257830,1000,138.00731996,5200.82,0,1,1000,2
268,328,-48173.000000,0.050000,100000,258830,1000,143.06698892,5222.87,0,1,1000,2
269,329,-12976.000000,0.050000,100000,259830,1000,142.65666905,5244.99,0,1,1000,2
270,330,-36984.000000,0.050000,100000,260830,1000,144.33130128,5266.65,0,1,1000,2
