Checkpoint,Folder,Mean_L3,Std_L3
weights_ep3000.pth,submission_versions\phase3_wall_s46,-143139.500,73225.339
weights_ep0200.pth,submission_versions\phase3_wall_s50,-39614.500,75555.784
weights_ep0400.pth,submission_versions\phase3_wall_s50,-651.700,880.714
weights_ep0600.pth,submission_versions\phase3_wall_s50,-42444.400,70150.520
weights_ep0800.pth,submission_versions\phase3_wall_s50,-794.800,468.951
weights_ep1000.pth,submission_versions\phase3_wall_s50,-655.400,880.172
weights_ep1200.pth,submission_versions\phase3_wall_s50,-39885.700,77233.980
weights_ep1400.pth,submission_versions\phase3_wall_s50,-133177.000,71828.937
weights_ep1600.pth,submission_versions\phase3_wall_s50,-22278.600,39646.293
weights_ep1800.pth,submission_versions\phase3_wall_s50,-972.500,1405.057
weights_ep2000.pth,submission_versions\phase3_wall_s50,-19887.500,58782.262
weights_ep2200.pth,submission_versions\phase3_wall_s50,-655.900,882.435
weights_ep2400.pth,submission_versions\phase3_wall_s50,-141984.100,78278.975
weights_ep2600.pth,submission_versions\phase3_wall_s50,-651.700,880.714
weights_ep2800.pth,submission_versions\phase3_wall_s50,-85646.100,85080.039
weights_ep3000.pth,submission_versions\phase3_wall_s50,-655.500,880.198
weights_interrupted.pth,submission_versions\phase3_wall_s50,-20621.800,56687.735
