episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
118,117,-2404.000000,0.050000,100000,100432,1000,42.34866387,2696.51,3,1,1000,2
119,118,-7790.000000,0.050000,100000,100702,270,40.76549365,2702.61,3,1,1000,2
120,119,1503.000000,0.050000,100000,101702,1000,42.59635364,2726.31,3,1,1000,2
121,120,-16168.000000,0.050000,100000,102702,1000,42.53793200,2748.24,3,1,1000,2
122,121,2508.000000,0.050000,100000,102844,142,42.66251041,2751.68,3,1,1000,2
123,122,-23278.000000,0.050000,100000,103844,1000,43.40787603,2775.59,3,1,1000,2
124,123,2447.000000,0.050000,100000,104062,218,43.28287093,2782.84,3,1,1000,2
125,124,-5741.000000,0.050000,100000,105062,1000,44.12241653,2806.63,3,1,1000,2
126,125,-30717.000000,0.050000,100000,106062,1000,42.96689875,2830.19,3,1,1000,2
127,126,-47174.000000,0.050000,100000,107062,1000,43.30755580,2855.21,3,1,1000,2
1,0,-2733.000000,0.990500,1000,1000,0,,7.46,3,1,1000,2
2,1,271.000000,0.981000,2000,2000,1,3.93082380,15.93,3,1,1000,2
3,2,-369.000000,0.971500,3000,3000,1000,1.06388567,31.64,3,1,1000,2
4,3,-13184.000000,0.962000,4000,4000,1000,0.74454814,46.74,3,1,1000,2
5,4,-1318.000000,0.953678,4876,4876,876,2.49317673,62.68,3,1,1000,2
6,5,-6135.000000,0.944178,5876,5876,1000,3.14463054,80.16,3,1,1000,2
7,6,309.000000,0.934678,6876,6876,1000,4.96289744,97.35,3,1,1000,2
8,7,1994.000000,0.925207,7873,7873,997,4.67495171,115.13,3,1,1000,2
9,8,2297.000000,0.921929,8218,8218,345,6.04296276,121.64,3,1,1000,2
10,9,-12128.000000,0.912429,9218,9218,1000,7.30551395,142.15,3,1,1000,2
11,10,-11930.000000,0.902929,10218,10218,1000,8.53116394,161.45,3,1,1000,2
12,11,-943.000000,0.893429,11218,11218,1000,9.12989854,177.19,3,1,1000,2
13,12,-4728.000000,0.883929,12218,12218,1000,9.00014524,195.46,3,1,1000,2
14,13,-7607.000000,0.874429,13218,13218,1000,9.91747141,210.69,3,1,1000,2
15,14,-4962.000000,0.864929,14218,14218,1000,9.58053146,225.52,3,1,1000,2
16,15,-5277.000000,0.855429,15218,15218,1000,10.02527933,240.45,3,1,1000,2
17,16,-818.000000,0.845929,16218,16218,1000,10.42806791,255.28,3,1,1000,2
18,17,-13013.000000,0.836429,17218,17218,1000,11.12044816,270.43,3,1,1000,2
19,18,-4354.000000,0.826929,18218,18218,1000,11.59490109,285.81,3,1,1000,2
20,19,-3673.000000,0.817429,19218,19218,1000,12.81691185,300.94,3,1,1000,2
21,20,-9331.000000,0.807929,20218,20218,1000,12.85286213,316.54,3,1,1000,2
22,21,-1410.000000,0.798429,21218,21218,1000,12.92808087,332.90,3,1,1000,2
23,22,-5488.000000,0.788929,22218,22218,1000,13.08097124,352.08,3,1,1000,2
24,23,491.000000,0.779429,23218,23218,1000,13.64779307,367.60,3,1,1000,2
25,24,-11245.000000,0.769929,24218,24218,1000,14.02507469,382.89,3,1,1000,2
26,25,-12332.000000,0.760429,25218,25218,1000,15.44073927,400.34,3,1,1000,2
27,26,-8080.000000,0.750929,26218,26218,1000,15.58763418,417.93,3,1,1000,2
28,27,-1465.000000,0.744573,26887,26887,669,16.23242090,427.45,3,1,1000,2
29,28,-11008.000000,0.735073,27887,27887,1000,16.77261467,442.94,3,1,1000,2
30,29,-6932.000000,0.725573,28887,28887,1000,16.69900580,459.18,3,1,1000,2
31,30,-2605.000000,0.716074,29887,29887,1000,16.10554220,479.55,3,1,1000,2
32,31,-8160.000000,0.706573,30887,30887,1000,16.57205301,495.56,3,1,1000,2
33,32,-30710.000000,0.697074,31887,31887,1000,17.03113234,513.59,3,1,1000,2
34,33,-3753.000000,0.687574,32887,32887,1000,17.26720752,534.01,3,1,1000,2
35,34,-13892.000000,0.678073,33887,33887,1000,16.86277582,551.52,3,1,1000,2
36,35,-5219.000000,0.668573,34887,34887,1000,16.43293639,568.41,3,1,1000,2
37,36,-9785.000000,0.659073,35887,35887,1000,16.16662306,584.73,3,1,1000,2
38,37,-36506.000000,0.649574,36887,36887,1000,16.98111020,600.46,3,1,1000,2
39,38,-637.000000,0.640073,37887,37887,1000,17.24329474,616.49,3,1,1000,2
40,39,662.000000,0.631333,38807,38807,920,17.76250860,632.85,3,1,1000,2
41,40,-2400.000000,0.621834,39807,39807,1000,17.83720396,651.23,3,1,1000,2
42,41,-8659.000000,0.612334,40807,40807,1000,19.35946396,668.88,3,1,1000,2
43,42,-944.000000,0.602834,41807,41807,1000,19.44783261,696.72,3,1,1000,2
44,43,-10765.000000,0.593333,42807,42807,1000,21.18124545,718.66,3,1,1000,2
45,44,-12426.000000,0.583834,43807,43807,1000,21.59663651,741.56,3,1,1000,2
46,45,-1834.000000,0.575511,44683,44683,876,22.74866026,761.18,3,1,1000,2
47,46,956.000000,0.566012,45683,45683,1000,23.04004524,784.22,3,1,1000,2
48,47,-755.000000,0.556512,46683,46683,1000,23.57450588,807.19,3,1,1000,2
49,48,-9837.000000,0.547011,47683,47683,1000,23.61957986,830.85,3,1,1000,2
50,49,429.000000,0.537512,48683,48683,1000,24.86488208,853.32,3,1,1000,2
51,50,-4399.000000,0.528012,49683,49683,1000,24.88665557,876.02,3,1,1000,2
52,51,-4779.000000,0.518512,50683,50683,1000,25.37022193,898.87,3,1,1000,2
53,52,901.000000,0.509011,51683,51683,1000,25.27672948,921.10,3,1,1000,2
54,53,-11715.000000,0.499511,52683,52683,1000,26.48991786,942.71,3,1,1000,2
55,54,-9071.000000,0.490012,53683,53683,1000,26.79557690,967.50,3,1,1000,2
56,55,-17003.000000,0.480511,54683,54683,1000,27.30515374,992.74,3,1,1000,2
57,56,-11266.000000,0.471012,55683,55683,1000,27.81665685,1014.96,3,1,1000,2
